service_id,service_name,paper_name,material_name,shape_name,size_name,laminate_name,quantity,price
16,In bản vẽ,Giấy ảnh 250,,,,,1,1
16,In bản vẽ,Khác,,,,,1,1
16,In bản vẽ,,,,A5,,1,1
16,In bản vẽ,,,,A4,,1,1
16,In bản vẽ,,,,A3,,1,1
16,In bản vẽ,,,,A2,,1,1
16,In bản vẽ,,,,A1,,1,1
16,In bản vẽ,,,,A0,,1,1
16,In bản vẽ,,,,Khác,,1,1
21,Danh thiếp,Ford 80,,,,,1,1
21,Danh thiếp,Ford 180,,,,,1,1
21,Danh thiếp,Ford 250,,,,,1,1
21,Danh thiếp,Ford 300,,,,,1,1
21,Danh thiếp,Couche 150,,,,,1,1
21,Danh thiếp,Couche 200,,,,,1,1
21,Danh thiếp,Couche 250,,,,,1,1
21,Danh thiếp,Couche 300,,,,,1,1
21,Danh thiếp,Canson 250,,,,,1,1
21,Danh thiếp,Gân trắng 250,,,,,1,1
21,Danh thiếp,Gân vàng 280,,,,,1,1
21,Danh thiếp,Ivory 300,,,,,1,1
21,Danh thiếp,Giấy ảnh 250,,,,,1,1
21,Danh thiếp,Khác,,,,,1,1
21,Danh thiếp,,,,A5,,1,1
21,Danh thiếp,,,,A4,,1,1
21,Danh thiếp,,,,A3,,1,1
21,Danh thiếp,,,,A2,,1,1
21,Danh thiếp,,,,A1,,1,1
21,Danh thiếp,,,,A0,,1,1
21,Danh thiếp,,,,Khác,,1,1
22,Sách ép keo nhiệt,,,,A5,,1,1
22,Sách ép keo nhiệt,,,,A4,,1,1
22,Sách ép keo nhiệt,,,,A3,,1,1
22,Sách ép keo nhiệt,,,,A2,,1,1
22,Sách ép keo nhiệt,,,,A1,,1,1
22,Sách ép keo nhiệt,,,,A0,,1,1
22,Sách ép keo nhiệt,,,,Khác,,1,1
23,Sách đóng bìa cứng,,,,A5,,1,1
23,Sách đóng bìa cứng,,,,A4,,1,1
23,Sách đóng bìa cứng,,,,A3,,1,1
23,Sách đóng bìa cứng,,,,A2,,1,1
23,Sách đóng bìa cứng,,,,A1,,1,1
23,Sách đóng bìa cứng,,,,A0,,1,1
23,Sách đóng bìa cứng,,,,Khác,,1,1
24,Bao thư,Ford 80,,,,,1,1
24,Bao thư,Ford 180,,,,,1,1
24,Bao thư,Ford 250,,,,,1,1
24,Bao thư,Ford 300,,,,,1,1
24,Bao thư,Couche 150,,,,,1,1
24,Bao thư,Couche 200,,,,,1,1
24,Bao thư,Couche 250,,,,,1,1
24,Bao thư,Couche 300,,,,,1,1
24,Bao thư,Canson 250,,,,,1,1
24,Bao thư,Gân trắng 250,,,,,1,1
24,Bao thư,Gân vàng 280,,,,,1,1
24,Bao thư,Ivory 300,,,,,1,1
24,Bao thư,Giấy ảnh 250,,,,,1,1
24,Bao thư,Khác,,,,,1,1
24,Bao thư,,,,A5,,1,1
24,Bao thư,,,,A4,,1,1
24,Bao thư,,,,A3,,1,1
24,Bao thư,,,,A2,,1,1
24,Bao thư,,,,A1,,1,1
24,Bao thư,,,,A0,,1,1
24,Bao thư,,,,Khác,,1,1
25,Giấy ghi chú,Ford 80,,,,,1,1
25,Giấy ghi chú,Ford 180,,,,,1,1
25,Giấy ghi chú,Ford 250,,,,,1,1
25,Giấy ghi chú,Ford 300,,,,,1,1
25,Giấy ghi chú,Couche 150,,,,,1,1
25,Giấy ghi chú,Couche 200,,,,,1,1
25,Giấy ghi chú,Couche 250,,,,,1,1
25,Giấy ghi chú,Couche 300,,,,,1,1
25,Giấy ghi chú,Canson 250,,,,,1,1
25,Giấy ghi chú,Gân trắng 250,,,,,1,1
25,Giấy ghi chú,Gân vàng 280,,,,,1,1
25,Giấy ghi chú,Ivory 300,,,,,1,1
25,Giấy ghi chú,Giấy ảnh 250,,,,,1,1
25,Giấy ghi chú,Khác,,,,,1,1
25,Giấy ghi chú,,,,A5,,1,1
25,Giấy ghi chú,,,,A4,,1,1
25,Giấy ghi chú,,,,A3,,1,1
25,Giấy ghi chú,,,,A2,,1,1
25,Giấy ghi chú,,,,A1,,1,1
25,Giấy ghi chú,,,,A0,,1,1
25,Giấy ghi chú,,,,Khác,,1,1
26,Giấy tiêu đề,Ford 80,,,,,1,1
26,Giấy tiêu đề,Ford 180,,,,,1,1
26,Giấy tiêu đề,Ford 250,,,,,1,1
26,Giấy tiêu đề,Ford 300,,,,,1,1
26,Giấy tiêu đề,Couche 150,,,,,1,1
26,Giấy tiêu đề,Couche 200,,,,,1,1
26,Giấy tiêu đề,Couche 250,,,,,1,1
26,Giấy tiêu đề,Couche 300,,,,,1,1
26,Giấy tiêu đề,Canson 250,,,,,1,1
26,Giấy tiêu đề,Gân trắng 250,,,,,1,1
26,Giấy tiêu đề,Gân vàng 280,,,,,1,1
26,Giấy tiêu đề,Ivory 300,,,,,1,1
26,Giấy tiêu đề,Giấy ảnh 250,,,,,1,1
26,Giấy tiêu đề,Khác,,,,,1,1
26,Giấy tiêu đề,,,,A5,,1,1
26,Giấy tiêu đề,,,,A4,,1,1
26,Giấy tiêu đề,,,,A3,,1,1
26,Giấy tiêu đề,,,,A2,,1,1
26,Giấy tiêu đề,,,,A1,,1,1
26,Giấy tiêu đề,,,,A0,,1,1
26,Giấy tiêu đề,,,,Khác,,1,1
27,Bìa đựng hồ sơ,Ford 80,,,,,1,1
27,Bìa đựng hồ sơ,Ford 180,,,,,1,1
27,Bìa đựng hồ sơ,Ford 250,,,,,1,1
27,Bìa đựng hồ sơ,Ford 300,,,,,1,1
27,Bìa đựng hồ sơ,Couche 150,,,,,1,1
27,Bìa đựng hồ sơ,Couche 200,,,,,1,1
27,Bìa đựng hồ sơ,Couche 250,,,,,1,1
27,Bìa đựng hồ sơ,Couche 300,,,,,1,1
27,Bìa đựng hồ sơ,Canson 250,,,,,1,1
27,Bìa đựng hồ sơ,Gân trắng 250,,,,,1,1
27,Bìa đựng hồ sơ,Gân vàng 280,,,,,1,1
27,Bìa đựng hồ sơ,Ivory 300,,,,,1,1
27,Bìa đựng hồ sơ,Giấy ảnh 250,,,,,1,1
27,Bìa đựng hồ sơ,Khác,,,,,1,1
27,Bìa đựng hồ sơ,,,,A5,,1,1
27,Bìa đựng hồ sơ,,,,A4,,1,1
27,Bìa đựng hồ sơ,,,,A3,,1,1
27,Bìa đựng hồ sơ,,,,A2,,1,1
27,Bìa đựng hồ sơ,,,,A1,,1,1
27,Bìa đựng hồ sơ,,,,A0,,1,1
